"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"2","0.003912","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-28 dBm"
"3","3.347832","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-22 dBm"
"4","3.435379","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-22 dBm"
"5","3.480743","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-22 dBm"
"6","3.566708","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-20 dBm"
"7","3.612322","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"8","3.699064","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-43 dBm"
"9","3.744224","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"10","3.829789","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-20 dBm"
"11","3.875269","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-20 dBm"
"12","3.961824","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-20 dBm"
"13","4.047975","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-22 dBm"
"14","4.134024","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"15","4.179429","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-22 dBm"
"16","4.268046","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-22 dBm"
"17","4.313227","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-21 dBm"
"18","4.402675","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-21 dBm"
"19","4.447096","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-20 dBm"
"20","4.574422","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-21 dBm"
