"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-47 dBm"
"2","2.054679","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"3","4.607255","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"4","6.973564","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"5","9.463489","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"6","12.178132","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"7","15.613632","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"8","17.947330","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-49 dBm"
"9","20.614776","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-47 dBm"
"10","23.292704","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-46 dBm"
"11","25.607679","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-47 dBm"
"12","27.931496","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-46 dBm"
"13","28.745151","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-60 dBm"
"14","34.070273","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-45 dBm"
"15","40.123090","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-46 dBm"
"16","41.573647","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-46 dBm"
"17","41.659157","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-56 dBm"
"18","41.704476","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-44 dBm"
"19","41.790121","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-39 dBm"
"20","41.835391","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-39 dBm"
