"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"2","0.004198","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-32 dBm"
"3","1.398347","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"4","1.485009","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-31 dBm"
"5","1.530208","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-31 dBm"
"6","1.616439","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-27 dBm"
"7","1.661422","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-27 dBm"
"8","1.747237","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-27 dBm"
"9","1.792291","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"10","1.878050","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-27 dBm"
"11","1.922268","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"12","2.008909","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"13","2.096483","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"14","2.182861","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"15","2.228127","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-29 dBm"
"16","2.317306","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"17","2.361520","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"18","2.451234","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-29 dBm"
"19","2.496878","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"20","2.624081","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
