"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-34 dBm"
"2","2.057131","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-34 dBm"
"3","3.720512","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-14 dBm"
"4","5.767513","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-13 dBm"
"5","7.275438","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-14 dBm"
"6","15.042370","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-31 dBm"
"7","15.912603","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-14 dBm"
"8","22.485583","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-14 dBm"
"9","23.185294","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-13 dBm"
"10","23.640335","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-11 dBm"
"11","23.685240","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-26 dBm"
"12","23.770685","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-10 dBm"
"13","23.816052","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-10 dBm"
"14","23.902584","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-10 dBm"
"15","23.902753","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-10 dBm"
"16","23.948156","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-24 dBm"
"17","24.034753","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-10 dBm"
"18","24.079890","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-10 dBm"
"19","24.165770","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-25 dBm"
"20","24.250499","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-11 dBm"
