"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-18 dBm"
"2","2.061080","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"3","3.106036","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"4","5.659843","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"5","8.910541","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"6","16.290137","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-43 dBm"
"7","17.489729","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"8","22.382177","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"9","22.806414","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"10","24.854203","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"11","25.267229","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"12","31.116181","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"13","31.720549","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"14","39.816003","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"15","39.909211","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-19 dBm"
"16","43.516135","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-13 dBm"
"17","43.603173","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"18","43.654927","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-29 dBm"
"19","43.742184","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-14 dBm"
"20","43.874361","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-14 dBm"
