"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-44 dBm"
"2","6.954182","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"3","10.162667","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-50 dBm"
"4","12.864899","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-52 dBm"
"5","13.012130","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-55 dBm"
"6","15.071307","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-50 dBm"
"7","15.159641","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-50 dBm"
"8","17.758414","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-45 dBm"
"9","18.003463","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-46 dBm"
"10","20.085234","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"11","21.160383","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"12","23.822689","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"13","29.546512","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-46 dBm"
"14","29.657692","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"15","32.209826","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-50 dBm"
"16","36.926824","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-45 dBm"
"17","39.296225","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-48 dBm"
"18","39.992288","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-47 dBm"
"19","42.039772","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-47 dBm"
"20","44.399088","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-46 dBm"
