"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-37 dBm"
"2","10.618053","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-36 dBm"
"3","11.495169","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-36 dBm"
"4","16.877644","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"5","16.962966","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"6","17.094195","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-29 dBm"
"7","17.139031","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-29 dBm"
"8","17.225633","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"9","17.233619","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"10","17.269725","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"11","17.355680","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"12","17.401070","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"13","17.487840","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-29 dBm"
"14","17.572736","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"15","17.658473","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-29 dBm"
"16","17.703721","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"17","17.793620","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-29 dBm"
"18","17.838435","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"19","17.929529","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-32 dBm"
"20","18.108809","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
