"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-30 dBm"
"2","5.703809","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-34 dBm"
"3","8.869530","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-32 dBm"
"4","11.276501","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-34 dBm"
"5","13.864931","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"6","16.623569","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"7","18.853476","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"8","20.542484","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-33 dBm"
"9","20.628241","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-34 dBm"
"10","20.673758","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-34 dBm"
"11","20.759655","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-32 dBm"
"12","20.804812","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-27 dBm"
"13","20.890544","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"14","20.934732","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"15","21.021232","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"16","21.065454","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"17","21.152616","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"18","21.239263","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"19","21.325974","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-30 dBm"
"20","21.371284","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
