"No.","Time","Source","Destination","Protocol","Length","RSSI"
"1","0.000000","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","178","-22 dBm"
"2","3.056195","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-23 dBm"
"3","5.562105","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-31 dBm"
"4","8.703631","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-24 dBm"
"5","10.442319","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-21 dBm"
"6","10.487815","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-21 dBm"
"7","10.573399","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-28 dBm"
"8","10.618617","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-20 dBm"
"9","10.704478","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-18 dBm"
"10","10.749914","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-18 dBm"
"11","10.836846","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-26 dBm"
"12","10.882400","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-18 dBm"
"13","10.968798","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-17 dBm"
"14","11.056466","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-18 dBm"
"15","11.142857","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-24 dBm"
"16","11.190318","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-18 dBm"
"17","11.280020","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-18 dBm"
"18","11.425925","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-18 dBm"
"19","11.471741","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-17 dBm"
"20","11.599669","Raspberr_bf:b1:88","ee:7f:af:1b:08:55","802.11","55","-18 dBm"
